,name,food_link,drink_link
0,しゃぶしゃぶ　個室居酒屋　とん仙　国分町フォーラス前店,https://www.hotpepper.jp/strJ001153875/food/,https://www.hotpepper.jp/strJ001153875/drink/
1,鍋と肉居酒屋　牛タン　焼き鳥　是空　仙台国分町,https://www.hotpepper.jp/strJ001054839/food/,https://www.hotpepper.jp/strJ001054839/drink/
2,十人十色　　といろ,https://www.hotpepper.jp/strJ001026362/food/,https://www.hotpepper.jp/strJ001026362/drink/
3,しゃぶしゃぶ　せり鍋　TONSEN　国分町フォーラス前店,https://www.hotpepper.jp/strJ001179721/food/,https://www.hotpepper.jp/strJ001179721/drink/
4,宮城うまいもん創作酒場　遊とり,https://www.hotpepper.jp/strJ001217293/food/,https://www.hotpepper.jp/strJ001217293/drink/
5,焼き鳥と桜肉と日本酒　　鶏櫻,https://www.hotpepper.jp/strJ001171389/food/,https://www.hotpepper.jp/strJ001171389/drink/
6,二丁目酒場　こいこい　国分町店,https://www.hotpepper.jp/strJ001203383/food/,https://www.hotpepper.jp/strJ001203383/drink/
7,宮城のうまいもん 発酵とお出汁 わび彩　国分町 居酒屋 個室 せり鍋,https://www.hotpepper.jp/strJ001160592/food/,https://www.hotpepper.jp/strJ001160592/drink/
8,肉×個室×夜景   空-Sora-,https://www.hotpepper.jp/strJ001192814/food/,https://www.hotpepper.jp/strJ001192814/drink/
9,日本酒と蒸しとお出汁 ふく籠 FUKUROU（ふくろう),https://www.hotpepper.jp/strJ001119940/food/,https://www.hotpepper.jp/strJ001119940/drink/
10,炭火焼と旬の店 日々木　国分町 居酒屋 完全個室,https://www.hotpepper.jp/strJ001171270/food/,https://www.hotpepper.jp/strJ001171270/drink/
11,博多ちかっぱ食堂どげん,https://www.hotpepper.jp/strJ000716816/food/,https://www.hotpepper.jp/strJ000716816/drink/
12,【3月下旬リニューアル】個室居酒屋　粋～いなせ～国分町店,https://www.hotpepper.jp/strJ001170770/food/,https://www.hotpepper.jp/strJ001170770/drink/
13,発酵の里 侘びいち　国分町 居酒屋 完全個室 せり鍋,https://www.hotpepper.jp/strJ001118722/food/,https://www.hotpepper.jp/strJ001118722/drink/
14,漁場直送日本一の宮城の魚が喰える店　第十一天海丸,https://www.hotpepper.jp/strJ000861735/food/,https://www.hotpepper.jp/strJ000861735/drink/
15,個室＆肉＆食べ放題＆飲み放題 国分町 ＧＥＫＫＯＨ　月虹,https://www.hotpepper.jp/strJ001008835/food/,https://www.hotpepper.jp/strJ001008835/drink/
16,ダイニングバー　La Foret　(ラフォーレ)　仙台国分町,https://www.hotpepper.jp/strJ001041754/food/,https://www.hotpepper.jp/strJ001041754/drink/
17,ぼんてん漁港勾当台店,https://www.hotpepper.jp/strJ001135316/food/,https://www.hotpepper.jp/strJ001135316/drink/
18,個室完備×宮城のうまいもん×串揚げ　大衆居酒屋　仙臺よさこい,https://www.hotpepper.jp/strJ001193524/food/,https://www.hotpepper.jp/strJ001193524/drink/
